

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
8.160, 0.39, 1, , 0.593, 1
8.180, 0.40, 1, , 0.594, 1
8.200, 0.38, 1, , 0.597, 1
8.220, 0.37, 1, , 0.598, 1
8.240, 0.40, 1, , 0.599, 1
8.260, 0.37, 1, , 0.602, 1
8.280, 0.40, 1, , 0.603, 1
8.300, 0.40, 1, , 0.604, 1
8.320, 0.39, 1, , 0.606, 1
8.340, 0.38, 1, , 0.608, 1
8.360, 0.38, 1, , 0.609, 1
8.380, 0.42, 1, , 0.611, 1
8.400, 0.38, 1, , 0.613, 1
8.420, 0.40, 1, , 0.615, 1
8.440, 0.40, 1, , 0.616, 1
8.460, 0.40, 1, , 0.618, 1
8.480, 0.35, 1, , 0.620, 1
8.500, 0.41, 1, , 0.621, 1
8.520, 0.39, 1, , 0.623, 1
8.540, 0.37, 1, , 0.625, 1
8.560, 0.37, 1, , 0.626, 1
8.580, 0.40, 1, , 0.627, 1
8.600, 0.39, 1, , 0.630, 1
8.620, 0.39, 1, , 0.631, 1
8.640, 0.39, 1, , 0.633, 1
8.660, 0.37, 1, , 0.635, 1
8.680, 0.39, 1, , 0.636, 1
8.700, 0.41, 1, , 0.638, 1
8.720, 0.38, 1, , 0.640, 1
8.740, 0.39, 1, , 0.641, 1
8.760, 0.40, 1, , 0.643, 1
8.780, 0.38, 1, , 0.645, 1
8.800, 0.41, 1, , 0.646, 1
8.820, 0.41, 1, , 0.648, 1
8.840, 0.40, 1, , 0.650, 1
8.860, 0.37, 1, , 0.651, 1
8.880, 0.43, 1, , 0.653, 1
8.900, 0.38, 1, , 0.655, 1
8.920, 0.40, 1, , 0.656, 1
8.940, 0.39, 1, , 0.658, 1
8.960, 0.41, 1, , 0.660, 1
8.980, 0.38, 1, , 0.661, 1
9.000, 0.41, 1, , 0.663, 1
9.020, 0.39, 1, , 0.665, 1
9.040, 0.38, 1, , 0.666, 1
9.060, 0.41, 1, , 0.668, 1
9.080, 0.38, 1, , 0.670, 1
9.100, 0.40, 1, , 0.671, 1
9.120, 0.41, 1, , 0.672, 1
9.140, 0.40, 1, , 0.675, 1
9.160, 0.39, 1, , 0.676, 1
9.180, 0.41, 1, , 0.678, 1
9.200, 0.43, 1, , 0.680, 1
9.220, 0.37, 1, , 0.682, 1
9.240, 0.41, 1, , 0.683, 1
9.260, 0.39, 1, , 0.685, 1
9.280, 0.38, 1, , 0.686, 1
9.300, 0.41, 1, , 0.687, 1
9.320, 0.44, 1, , 0.690, 1
9.340, 0.42, 1, , 0.692, 1
9.360, 0.39, 1, , 0.693, 1
9.380, 0.44, 1, , 0.694, 1
9.400, 0.42, 1, , 0.697, 1
9.420, 0.40, 1, , 0.698, 1
9.440, 0.39, 1, , 0.699, 1
9.460, 0.42, 1, , 0.702, 1
9.480, 0.40, 1, , 0.704, 1
9.500, 0.42, 1, , 0.704, 1
9.520, 0.43, 1, , 0.706, 1
9.540, 0.43, 1, , 0.709, 1
9.560, 0.41, 1, , 0.710, 1
9.580, 0.41, 1, , 0.711, 1
9.600, 0.42, 1, , 0.713, 1
9.620, 0.40, 1, , 0.715, 1
9.640, 0.40, 1, , 0.716, 1
9.660, 0.42, 1, , 0.718, 1
9.680, 0.39, 1, , 0.720, 1
9.700, 0.40, 1, , 0.721, 1
9.720, 0.44, 1, , 0.723, 1
9.740, 0.39, 1, , 0.725, 1
9.760, 0.42, 1, , 0.726, 1
9.780, 0.41, 1, , 0.728, 1
9.800, 0.41, 1, , 0.730, 1
9.820, 0.40, 1, , 0.731, 1
9.840, 0.43, 1, , 0.733, 1
9.860, 0.39, 1, , 0.735, 1
9.880, 0.40, 1, , 0.736, 1
9.900, 0.42, 1, , 0.737, 1
9.920, 0.43, 1, , 0.740, 1
9.940, 0.41, 1, , 0.742, 1
9.960, 0.41, 1, , 0.743, 1
9.980, 0.42, 1, , 0.745, 1
10.000, 0.43, 1, , 0.747, 1
10.020, 0.41, 1, , 0.748, 1
10.040, 0.42, 1, , 0.749, 1
10.060, 0.44, 1, , 0.752, 1
10.080, 0.41, 1, , 0.753, 1
10.100, 0.42, 1, , 0.754, 1
10.120, 0.44, 1, , 0.756, 1
10.140, 0.42, 1, , 0.758, 1
10.160, 0.41, 1, , 0.759, 1
10.180, 0.43, 1, , 0.761, 1
10.200, 0.40, 1, , 0.763, 1
10.220, 0.42, 1, , 0.764, 1
10.240, 0.43, 1, , 0.766, 1
10.260, 0.41, 1, , 0.768, 1
10.280, 0.43, 1, , 0.769, 1
10.300, 0.44, 1, , 0.772, 1
10.320, 0.43, 1, , 0.773, 1
10.340, 0.41, 1, , 0.774, 1
10.360, 0.44, 1, , 0.777, 1
10.380, 0.43, 1, , 0.778, 1
10.400, 0.41, 1, , 0.779, 1
