

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
8.620, 6.89, N/A, , 0.705, 1
8.640, 6.91, N/A, , 0.706, 1
8.660, 6.95, N/A, , 0.708, 1
8.680, 6.93, N/A, , 0.709, 1
8.700, 6.95, N/A, , 0.710, 1
8.720, 6.97, N/A, , 0.712, 1
8.740, 6.99, N/A, , 0.714, 1
8.760, 7.00, N/A, , 0.715, 1
8.780, 7.04, N/A, , 0.717, 1
8.800, 7.06, N/A, , 0.719, 1
8.820, 7.08, N/A, , 0.721, 1
8.840, 7.10, N/A, , 0.722, 1
8.860, 7.12, N/A, , 0.724, 1
8.880, 7.14, N/A, , 0.726, 1
8.900, 7.17, N/A, , 0.728, 1
8.920, 7.18, N/A, , 0.729, 1
8.940, 7.22, N/A, , 0.731, 1
8.960, 7.21, N/A, , 0.732, 1
8.980, 7.22, N/A, , 0.734, 1
9.000, 7.25, N/A, , 0.736, 1
9.020, 7.27, N/A, , 0.738, 1
9.040, 7.30, N/A, , 0.739, 1
9.060, 7.32, N/A, , 0.741, 1
9.080, 7.35, N/A, , 0.743, 1
9.100, 7.36, N/A, , 0.744, 1
9.120, 7.37, N/A, , 0.746, 1
9.140, 7.40, N/A, , 0.748, 1
9.160, 7.42, N/A, , 0.749, 1
9.180, 7.42, N/A, , 0.751, 1
9.200, 7.45, N/A, , 0.753, 1
9.220, 7.47, N/A, , 0.754, 1
9.240, 7.46, N/A, , 0.755, 1
9.260, 7.50, N/A, , 0.757, 1
9.280, 7.52, N/A, , 0.759, 1
9.300, 7.53, N/A, , 0.760, 1
9.320, 7.54, N/A, , 0.762, 1
9.340, 7.56, N/A, , 0.764, 1
9.360, 7.59, N/A, , 0.766, 1
9.380, 7.63, N/A, , 0.768, 1
9.400, 7.64, N/A, , 0.770, 1
9.420, 7.65, N/A, , 0.771, 1
9.440, 7.67, N/A, , 0.772, 1
9.460, 7.70, N/A, , 0.774, 1
9.480, 7.73, N/A, , 0.775, 1
9.500, 7.71, N/A, , 0.777, 1
9.520, 7.72, N/A, , 0.779, 1
9.540, 7.75, N/A, , 0.781, 1
9.560, 7.76, N/A, , 0.782, 1
9.580, 7.77, N/A, , 0.784, 1
9.600, 7.82, N/A, , 0.786, 1
9.620, 7.83, N/A, , 0.788, 1
9.640, 7.82, N/A, , 0.789, 1
9.660, 7.85, N/A, , 0.791, 1
9.680, 7.87, N/A, , 0.793, 1
9.700, 7.88, N/A, , 0.794, 1
9.720, 7.90, N/A, , 0.795, 1
9.740, 7.90, N/A, , 0.797, 1
9.760, 7.94, N/A, , 0.798, 1
9.780, 7.95, N/A, , 0.800, 1
9.800, 7.98, N/A, , 0.802, 1
9.820, 8.00, N/A, , 0.804, 1
9.840, 8.00, N/A, , 0.806, 1
9.860, 8.03, N/A, , 0.808, 1
9.880, 8.05, N/A, , 0.810, 1
9.900, 8.06, N/A, , 0.812, 1
9.920, 8.11, N/A, , 0.813, 1
9.940, 8.11, N/A, , 0.815, 1
9.960, 8.12, N/A, , 0.816, 1
9.980, 8.14, N/A, , 0.817, 1
10.000, 8.15, N/A, , 0.819, 1
10.020, 8.16, N/A, , 0.820, 1
10.040, 8.15, N/A, , 0.822, 1
10.060, 8.22, N/A, , 0.824, 1
10.080, 8.21, N/A, , 0.826, 1
10.100, 8.24, N/A, , 0.828, 1
10.120, 8.26, N/A, , 0.830, 1
10.140, 8.30, N/A, , 0.832, 1
10.160, 8.33, N/A, , 0.833, 1
10.180, 8.33, N/A, , 0.835, 1
10.200, 8.33, N/A, , 0.837, 1
10.220, 8.37, N/A, , 0.838, 1
10.240, 8.38, N/A, , 0.839, 1
10.260, 8.38, N/A, , 0.841, 1
10.280, 8.38, N/A, , 0.842, 1
10.300, 8.41, N/A, , 0.843, 1
10.320, 8.43, N/A, , 0.846, 1
10.340, 8.48, N/A, , 0.848, 1
10.360, 8.48, N/A, , 0.849, 1
10.380, 8.50, N/A, , 0.850, 1
10.400, 8.50, N/A, , 0.852, 1
10.420, 8.50, N/A, , 0.854, 1
10.440, 8.54, N/A, , 0.856, 1
10.460, 8.57, N/A, , 0.858, 1
10.480, 8.59, N/A, , 0.860, 1
10.500, 8.60, N/A, , 0.860, 1
10.520, 8.62, N/A, , 0.862, 1
10.540, 8.62, N/A, , 0.864, 1
10.560, 8.67, N/A, , 0.865, 1
10.580, 8.66, N/A, , 0.867, 1
10.600, 8.72, N/A, , 0.869, 1
10.620, 8.72, N/A, , 0.871, 1
10.640, 8.77, N/A, , 0.873, 1
10.660, 8.77, N/A, , 0.874, 1
10.680, 8.78, N/A, , 0.876, 1
10.700, 8.79, N/A, , 0.878, 1
10.720, 8.84, N/A, , 0.880, 1
10.740, 8.85, N/A, , 0.882, 1
10.760, 8.86, N/A, , 0.882, 1
10.780, 8.85, N/A, , 0.884, 1
10.800, 8.87, N/A, , 0.886, 1
10.820, 8.88, N/A, , 0.886, 1
10.840, 8.89, N/A, , 0.888, 1
10.860, 8.95, N/A, , 0.891, 1
10.880, 8.96, N/A, , 0.892, 1
10.900, 8.95, N/A, , 0.893, 1
10.920, 8.98, N/A, , 0.896, 1
10.940, 9.04, N/A, , 0.898, 1
10.960, 9.04, N/A, , 0.899, 1
10.980, 9.04, N/A, , 0.900, 1
11.000, 9.07, N/A, , 0.903, 1
11.020, 9.11, N/A, , 0.905, 1
11.040, 9.11, N/A, , 0.905, 1
11.060, 9.14, N/A, , 0.908, 1
11.080, 9.15, N/A, , 0.909, 1
11.100, 9.17, N/A, , 0.910, 1
11.120, 9.18, N/A, , 0.912, 1
11.140, 9.24, N/A, , 0.915, 1
11.160, 9.26, N/A, , 0.917, 1
11.180, 9.26, N/A, , 0.918, 1
11.200, 9.32, N/A, , 0.920, 1
11.220, 9.33, N/A, , 0.922, 1
11.240, 9.32, N/A, , 0.924, 1
11.260, 9.36, N/A, , 0.925, 1
11.280, 9.37, N/A, , 0.927, 1
11.300, 9.40, N/A, , 0.928, 1
11.320, 9.41, N/A, , 0.930, 1
11.340, 9.45, N/A, , 0.931, 1
11.360, 9.47, N/A, , 0.932, 1
11.380, 9.49, N/A, , 0.934, 1
11.400, 9.50, N/A, , 0.936, 1
11.420, 9.50, N/A, , 0.938, 1
11.440, 9.54, N/A, , 0.939, 1
11.460, 9.54, N/A, , 0.940, 1
11.480, 9.58, N/A, , 0.942, 1
11.500, 9.61, N/A, , 0.944, 1
11.520, 9.64, N/A, , 0.946, 1
11.540, 9.64, N/A, , 0.948, 1
11.560, 9.64, N/A, , 0.949, 1
11.580, 9.66, N/A, , 0.951, 1
11.600, 9.71, N/A, , 0.952, 1
11.620, 9.71, N/A, , 0.953, 1
11.640, 9.73, N/A, , 0.955, 1
11.660, 9.75, N/A, , 0.957, 1
11.680, 9.77, N/A, , 0.960, 1
11.700, 9.83, N/A, , 0.962, 1
11.720, 9.83, N/A, , 0.962, 1
11.740, 9.84, N/A, , 0.964, 1
11.760, 9.87, N/A, , 0.966, 1
11.780, 9.91, N/A, , 0.968, 1
11.800, 9.91, N/A, , 0.970, 1
11.820, 9.93, N/A, , 0.971, 1
11.840, 9.92, N/A, , 0.972, 1
11.860, 9.97, N/A, , 0.974, 1
11.880, 9.98, N/A, , 0.975, 1
11.900, 9.99, N/A, , 0.977, 1
11.920, 10.02, N/A, , 0.979, 1
11.940, 10.03, N/A, , 0.980, 1
11.960, 10.05, N/A, , 0.981, 1
11.980, 10.09, N/A, , 0.984, 1
12.000, 10.12, N/A, , 0.986, 1
12.020, 10.12, N/A, , 0.987, 1
12.040, 10.14, N/A, , 0.989, 1
